special_table,special_table,special_table,special_table
player,player,dealer,dealer
spy,card,spy,card
0.79,3,0.9,3
0.83,3,0.41,2
0.41,2,0.73,3
0.26,2,0.71,3
0.18,2,0.7,3
0.56,3,9.89,2
0.79,3,3.67,6
0.84,3,11.44,3
0.53,3,5.15,7
1.0,3,7.39,9
73.86,6,0.17,2
64.26,6,6.49,8
74.33,6,7.62,10
66.03,8,-0.34,2
66.11,8,10.58,3
64.39,6,11.47,3
73.96,6,2.69,5
64.52,7,8.78,11
74.15,6,5.22,7
64.42,6,7.18,9
73.64,6,1.18,3
64.0,6,7.54,10
73.36,5,10.66,3
63.98,6,8.74,11
73.76,6,9.39,11
63.52,6,0.01,2
69.29,11,11.64,4
71.08,3,6.3,8
80.96,3,4.43,6
74.62,7,2.48,4
68.0,10,6.95,9
59.52,2,0.11,2
61.17,3,11.61,4
51.32,3,10.73,3
59.63,2,11.24,3
59.98,2,8.04,10
57.39,9,0.1,2
64.87,7,1.84,4
73.91,6,7.57,10
63.79,6,10.51,3
71.54,4,8.19,10
78.59,11,3.54,6
78.26,10,7.61,10
80.54,3,2.72,5
72.05,4,8.37,10
73.78,6,8.96,11
63.17,5,11.32,3
66.41,8,4.95,7
61.51,4,7.77,10
50.77,3,11.19,3
55.4,7,8.65,11
46.46,8,11.18,3
52.28,4,3.71,6
60.5,3,1.8,4
52.94,5,6.92,9
57.24,9,11.22,3
63.57,6,10.89,3
70.54,3,4.94,7
81.33,3,0.61,3
77.84,10,9.37,11
84.87,7,9.48,11
84.75,7,2.97,5
85.93,8,11.7,4
77.96,10,6.12,8
83.14,5,3.72,6
93.2,5,6.5,8
84.24,6,10.44,2
90.21,2,1.95,4
98.44,10,1.51,4
89.71,2,6.71,9
99.07,11,5.8,8
88.84,11,10.56,3
97.3,9,0.81,3
97.71,10,6.92,9
94.34,6,0.44,2
95.15,7,7.94,10
102.41,4,3.4,5
112.87,5,7.0,9
110.01,2,1.78,4
109.5,11,10.7,3
113.72,6,9.02,11
119.22,11,6.69,9
116.68,9,5.24,7
112.07,4,5.76,8
103.74,6,2.4,4
102.84,5,0.25,2
111.63,4,9.0,11
101.93,4,-0.01,2
110.79,3,1.04,3
103.36,5,2.22,4
106.46,8,7.46,9
103.21,5,3.42,5
107.14,9,3.05,5
109.78,2,1.01,3
111.56,4,8.03,10
101.58,4,10.48,2
110.27,2,10.73,3
106.69,9,7.13,9
105.22,7,7.02,9
94.36,6,4.71,7
94.48,6,9.06,11
97.47,9,11.72,4
96.73,9,3.41,5
103.55,6,1.0,3
104.15,6,-0.41,2
100.57,3,11.36,3
100.58,3,9.96,2
101.4,3,5.47,7
109.02,11,9.69,2
116.56,9,8.25,10
114.12,6,10.63,3
123.94,6,9.63,2
114.69,7,10.86,3
124.32,6,1.26,3
114.42,6,1.01,3
124.38,6,7.48,9
113.81,6,3.71,6
120.81,3,0.16,2
131.41,3,1.2,3
126.44,8,4.27,6
133.69,6,12.15,4
143.82,6,7.89,10
137.55,10,1.29,3
131.19,3,12.44,4
123.58,6,6.35,8
115.29,7,9.31,11
123.75,6,2.89,5
115.63,8,-0.05,2
121.21,3,4.53,7
130.82,3,3.23,5
122.31,4,6.99,9
123.66,6,11.74,4
114.58,7,5.77,8
124.28,6,8.32,10
114.22,6,3.11,5
123.57,6,4.31,6
115.01,7,4.78,7
123.74,6,-0.15,2
114.14,6,7.46,9
122.62,5,1.65,4
122.13,4,6.0,8
125.64,8,4.45,6
125.35,7,7.75,10
122.7,5,1.69,4
121.67,4,0.51,3
129.85,2,11.34,3
120.7,3,4.03,6
130.71,3,12.21,4
121.3,3,11.73,4
130.91,3,8.43,10
122.02,4,12.14,4
126.25,8,0.66,3
131.94,4,11.43,3
131.57,4,10.3,2
129.31,11,2.81,5
123.76,6,10.53,3
114.13,6,7.94,10
123.23,5,8.39,10
116.66,9,5.26,7
113.0,5,2.5,4
112.24,4,6.86,9
104.19,6,10.32,2
99.11,11,11.43,3
90.54,3,4.3,6
96.33,8,10.82,3
105.34,7,3.01,5
96.21,8,1.07,3
105.47,7,1.61,4
95.81,8,2.87,5
106.42,8,3.39,5
102.44,4,5.23,7
112.26,4,5.44,7
105.08,7,11.89,4
94.65,7,12.28,4
99.45,11,6.93,9
90.88,3,11.21,3
93.04,5,-0.65,11
83.9,6,5.87,8
91.24,3,10.37,2
89.78,2,2.37,4
99.86,2,5.7,8
93.97,6,-0.01,2
91.94,4,0.7,3
84.53,7,1.27,3
87.13,9,5.02,7
80.01,2,2.63,5
70.08,2,12.88,5
77.94,10,8.91,11
84.45,6,-0.36,2
87.98,10,0.65,3
87.77,10,7.11,9
85.47,7,10.38,2
79.52,2,0.04,2
70.59,3,6.86,9
80.58,3,4.5,6
71.52,4,3.31,5
77.73,10,1.25,3
85.27,7,11.39,3
80.19,2,9.29,11
69.62,2,8.91,11
74.73,7,1.03,3
68.41,10,-0.53,11
61.98,4,11.72,4
53.96,6,3.58,6
48.43,10,8.71,11
39.36,11,11.43,3
49.03,11,-0.7,11
40.01,2,6.35,8
46.7,9,11.77,4
51.15,3,10.18,2
58.68,11,2.68,5
67.33,9,2.82,5
58.24,10,6.28,8
67.99,10,1.25,3
59.23,11,1.85,4
63.96,6,10.99,3
72.83,5,5.85,8
67.4,9,0.75,3
57.36,9,5.37,7
64.33,6,9.66,2
74.68,7,0.9,3
67.71,10,1.07,3
57.76,10,-0.44,2
67.2,9,4.51,7
57.34,9,8.77,11
63.94,6,1.37,3
72.64,5,5.86,8
69.25,11,5.38,7
71.41,3,10.49,2
78.27,10,0.38,2
81.4,3,2.17,4
78.96,11,7.82,10
74.07,6,1.42,3
64.18,6,0.5,2
73.36,5,0.46,2
64.94,7,10.56,3
73.99,6,6.56,9
63.67,6,2.72,5
71.68,4,6.56,9
76.84,9,9.53,2
86.31,8,2.75,5
75.88,8,10.74,3
80.25,2,9.65,2
70.08,2,0.29,2
78.92,11,10.99,3
75.5,8,3.6,6
76.51,9,5.21,7
85.08,7,5.83,8
82.77,5,6.9,9
91.46,3,1.38,3
87.88,10,10.44,2
87.45,9,7.53,10
82.0,4,6.74,9
84.63,7,0.89,3
86.31,8,11.91,4
76.24,8,8.46,10
83.58,6,5.03,7
93.5,6,9.16,11
85.73,8,11.46,3
77.99,10,4.75,7
82.67,5,8.23,10
90.77,3,6.3,8
94.33,6,6.22,8
95.49,7,1.91,4
105.19,7,7.31,9
95.11,7,10.34,2
102.03,4,10.78,3
112.35,4,12.46,4
105.31,7,5.59,8
95.8,8,1.46,3
106.38,8,7.12,9
101.66,4,9.47,11
110.8,3,7.12,9
103.81,6,8.06,10
102.56,5,8.74,11
111.6,4,4.21,6
102.37,4,10.53,3
112.23,4,4.95,7
104.16,6,11.05,3
99.43,11,2.84,5
91.58,4,7.48,9
86.89,9,0.3,2
78.56,11,-0.28,2
78.63,11,3.31,5
77.44,9,2.01,4
85.65,8,0.51,3
78.32,10,4.0,6
81.02,3,0.95,3
74.83,7,8.36,10
69.41,11,12.29,4
72.69,5,7.6,10
68.77,11,7.34,9
66.03,8,6.71,9
65.83,8,6.5,9
66.94,9,9.7,2
58.2,10,2.56,5
67.87,10,5.59,8
57.95,10,-0.93,11
67.4,9,8.23,10
56.58,9,10.56,3
57.1,9,5.32,7
61.93,4,8.49,10
54.41,6,11.77,4
45.48,7,7.97,10
55.23,7,1.76,4
45.53,8,6.76,9
55.29,7,9.14,11
45.51,8,1.85,4
55.64,8,6.66,9
48.63,11,3.81,6
38.31,10,10.14,2
44.85,7,-1.14,11
52.65,5,8.45,10
58.38,10,0.68,3
67.5,9,1.95,4
57.19,9,3.05,5
63.13,5,0.63,3
66.12,8,3.85,6
65.27,7,3.2,5
72.58,5,11.66,4
69.62,2,2.19,4
74.15,6,8.88,11
