table_0,table_0,table_0,table_0,table_1,table_1,table_1,table_1,table_2,table_2,table_2,table_2,table_3,table_3,table_3,table_3,table_4,table_4,table_4,table_4
player,player,dealer,dealer,player,player,dealer,dealer,player,player,dealer,dealer,player,player,dealer,dealer,player,player,dealer,dealer
spy,card,spy,card,spy,card,spy,card,spy,card,spy,card,spy,card,spy,card,spy,card,spy,card
9.93,2,5.93,8,78.84,11,-7.97,4,63.09,5,7.79,10,73.86,6,50.93,3,9.89,2,103.6,6
11.33,3,6.47,8,76.07,8,-5.32,7,46.69,9,-4.36,8,64.26,6,52.33,4,3.67,6,105.23,7
12.6,5,5.8,8,76.65,9,-9.61,2,37.41,9,10.0,2,74.33,6,53.6,6,11.44,3,103.03,5
13.69,6,6.29,8,81.73,4,6.33,8,31.18,3,5.28,7,66.03,8,54.69,7,5.15,7,106.29,8
12.92,5,5.94,8,85.98,8,-12.57,9,27.07,9,10.52,3,66.11,8,55.92,8,7.39,9,104.12,6
12.02,4,6.16,8,83.05,5,0.1,2,23.81,6,1.05,3,64.39,6,57.02,9,0.17,2,104.06,6
11.31,3,6.13,8,76.69,9,-0.22,2,21.62,4,-1.87,10,73.96,6,58.31,10,6.49,8,104.15,6
10.69,3,6.24,8,83.53,6,-0.39,2,20.03,2,0.63,3,64.52,7,59.69,2,7.62,10,104.17,6
9.48,11,5.56,8,86.39,8,1.25,3,17.78,10,-6.56,5,74.15,6,60.48,2,-0.34,2,103.99,6
8.23,10,6.19,8,87.88,10,2.38,4,15.85,8,-9.71,2,64.42,6,61.23,3,10.58,3,104.33,6
7.51,10,6.09,8,78.47,10,-8.09,4,15.11,7,6.58,9,73.64,6,62.51,5,11.47,3,103.62,6
6.33,8,5.73,8,78.91,11,-11.96,10,13.7,6,-7.39,5,64.0,6,63.33,5,2.69,5,105.13,7
5.19,7,6.14,8,79.9,2,-10.1,2,12.57,5,-7.57,4,73.36,5,64.19,6,8.78,11,103.05,5
3.73,6,5.39,7,77.88,10,-4.18,8,11.03,3,-2.15,10,63.98,6,64.73,7,5.22,7,106.08,8
2.84,5,6.72,9,74.44,6,-11.88,10,10.62,3,-5.99,6,73.76,6,65.84,8,7.18,9,103.79,6
1.94,4,5.39,7,80.12,2,11.14,3,10.25,2,1.49,3,63.52,6,66.94,9,1.18,3,104.71,7
0.67,3,6.34,8,75.61,8,-4.76,7,200.66,3,-8.24,4,69.29,11,67.67,10,7.54,10,103.15,5
0.06,2,6.06,8,72.81,5,8.49,10,73.32,5,9.69,2,71.08,3,69.06,11,10.66,3,106.0,8
-1.09,11,5.79,8,77.85,10,9.37,11,50.2,2,-3.27,9,80.96,3,69.91,2,8.74,11,103.67,6
-0.46,2,5.85,8,76.46,8,11.8,4,39.07,11,7.39,9,74.62,7,70.54,3,9.39,11,105.07,7
0.55,3,6.16,8,81.68,4,13.25,5,32.78,5,-3.47,9,68.0,10,71.55,4,0.01,2,103.12,5
1.94,4,6.23,8,85.49,7,5.14,7,28.13,10,2.32,4,59.52,2,72.94,5,11.64,4,106.15,8
3.12,5,5.96,8,82.7,5,-4.39,8,24.87,7,-8.31,4,61.17,3,74.12,6,6.3,8,103.76,6
4.37,6,6.3,8,78.32,10,-6.96,5,22.43,4,-6.25,6,51.32,3,75.37,7,4.43,6,104.84,7
5.66,8,5.99,8,83.19,5,10.3,2,20.01,2,-2.36,10,59.63,2,76.66,9,2.48,4,103.08,5
6.63,9,5.99,8,82.53,5,-4.49,8,18.21,10,-1.22,11,59.98,2,77.63,10,6.95,9,106.06,8
7.7,10,6.08,8,86.4,8,11.91,4,16.24,8,7.37,9,57.39,9,78.7,11,0.11,2,103.68,6
8.47,10,5.69,8,86.99,9,10.16,2,14.71,7,-4.89,7,64.87,7,79.47,11,11.61,4,105.0,7
9.31,11,6.15,8,78.55,11,4.22,6,13.9,6,1.25,3,73.91,6,80.31,2,10.73,3,103.08,5
10.45,2,5.99,8,75.03,7,12.03,4,13.01,5,8.42,10,63.79,6,81.45,3,11.24,3,106.09,8
11.47,3,6.03,8,77.19,9,-11.4,11,12.29,4,5.17,7,71.54,4,82.47,4,8.04,10,103.58,6
12.53,5,6.03,8,77.1,9,3.75,6,11.4,3,-0.67,11,78.59,11,83.53,6,0.1,2,105.28,7
13.44,5,5.88,8,83.54,6,-7.04,5,10.33,2,-1.72,10,78.26,10,84.44,6,1.84,4,103.04,5
12.18,4,5.87,8,86.45,8,-12.68,9,10.32,2,8.62,11,80.54,3,85.18,7,7.57,10,106.09,8
11.48,3,6.44,8,88.38,10,-4.42,8,199.54,2,-8.39,4,72.05,4,86.48,8,10.51,3,103.8,6
10.6,3,5.67,8,79.03,11,0.6,3,74.18,6,-7.04,5,73.78,6,87.6,10,8.19,10,104.69,7
9.32,11,6.05,8,81.17,3,10.07,2,50.91,3,-0.24,2,63.17,5,88.32,10,3.54,6,103.17,5
8.69,11,6.31,8,78.21,10,-3.86,8,38.84,11,7.62,10,66.41,8,89.69,2,7.61,10,105.96,8
7.52,10,5.52,8,76.26,8,11.91,4,31.95,4,5.87,8,61.51,4,90.52,3,2.72,5,103.35,5
6.14,8,6.11,8,79.13,11,11.54,4,26.56,9,6.62,9,50.77,3,91.14,3,8.37,10,105.42,7
5.12,7,5.87,8,83.21,5,4.02,6,22.2,4,9.26,11,55.4,7,92.12,4,8.96,11,102.98,5
3.71,6,5.72,8,78.95,11,6.47,8,19.64,2,-8.31,4,46.46,8,92.71,5,11.32,3,106.31,8
2.08,4,5.65,8,84.26,6,-11.97,10,17.99,10,-5.01,7,52.28,4,93.08,5,4.95,7,103.96,6
0.94,3,6.21,8,79.66,2,0.75,3,16.09,8,-2.8,9,60.5,3,93.94,6,7.77,10,104.26,6
0.06,2,5.9,8,82.34,4,-3.99,8,14.02,6,5.94,8,52.94,5,95.06,7,11.19,3,103.83,6
-1.16,11,5.89,8,76.56,9,-4.89,7,12.78,5,8.29,10,57.24,9,95.84,8,8.65,11,104.65,7
-0.65,11,5.62,8,81.27,3,11.8,4,11.79,4,8.44,10,63.57,6,96.35,8,11.18,3,103.32,5
0.18,2,6.2,8,85.35,7,8.49,10,11.04,3,2.83,5,70.54,3,97.18,9,3.71,6,105.73,8
1.06,3,5.68,8,81.24,3,5.39,7,10.67,3,-1.11,11,81.33,3,98.06,10,1.8,4,103.41,5
2.01,4,6.28,8,78.05,10,11.57,4,11.01,3,-8.07,4,77.84,10,99.01,11,6.92,9,105.51,8
3.14,5,5.86,8,77.24,9,-5.25,7,10.36,2,-1.19,11,84.87,7,100.14,2,11.22,3,103.19,5
4.68,7,6.68,9,81.2,3,6.4,8,10.45,2,-7.54,4,84.75,7,101.68,4,10.89,3,106.0,8
5.64,8,5.29,7,85.71,8,6.73,9,10.29,2,-3.73,8,85.93,8,102.64,5,4.94,7,103.64,6
7.01,9,7.08,9,81.11,3,1.37,3,10.25,2,-4.94,7,77.96,10,104.01,6,0.61,3,105.26,7
8.23,10,5.14,7,76.51,9,2.73,5,10.71,3,-10.12,2,83.14,5,105.23,7,9.37,11,102.94,5
9.52,2,7.15,9,75.61,8,-8.13,4,200.12,2,7.91,10,93.2,5,106.52,9,9.48,11,106.36,8
11.1,3,5.43,7,82.12,4,-12.89,9,73.29,5,-8.91,3,84.24,6,108.1,10,2.97,5,104.07,6
11.92,4,6.39,8,82.4,4,-10.07,2,51.3,3,10.34,2,90.21,2,108.92,11,11.7,4,104.33,6
13.0,5,5.68,8,83.6,6,2.38,4,40.14,2,10.44,2,98.44,10,110.0,2,6.12,8,103.86,6
13.82,6,6.15,8,85.06,7,-12.36,10,32.79,5,3.78,6,89.71,2,110.82,3,3.72,6,104.61,7
13.12,5,6.15,8,86.94,9,-12.37,10,27.34,9,0.56,3,99.07,11,112.12,4,6.5,8,103.29,5
12.39,4,6.12,8,82.11,4,-1.53,10,23.56,6,9.11,11,88.84,11,113.39,5,10.44,2,105.68,8
11.36,3,5.85,8,77.27,9,-0.78,11,21.74,4,-9.16,3,97.3,9,114.36,6,1.95,4,103.35,5
